房山,天坛,云岗,东四环,官园,东四,北部新区,丰台花园,东高村,古城,大兴,南三环,前门,榆垡,琉璃河,永乐店
0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999
0.8108301020361217,0.809720483730325,0.7973045651224634,0.8291861496913804,0.7491944665214545,0.8982892673304598,0.857407844769139,0.8982892673304597,0.7805301126245128,0.8297206974845002,0.8131486155966507,0.8256399684639065,0.8544142003489609,0.809720483730325,0.7540207966336664,0.7938347659289784
0.836075900961608,0.7540207966336664,0.8979274543266951,0.868781195285979,0.8731988907409988,0.8531582258622152,0.8531582258622153,0.9032554443039299,0.8340673638929994,0.7608003551059396,0.8655245769789491,0.8979737363203566,0.8979737363203567,0.8108301020361217,0.7769451056907736,0.862949061823796
0.7938347659289783,0.836075900961608,0.8722713765928641,0.8955252661592608,0.857407844769139,0.9509266126571863,0.8649065313077478,0.8300004295882328,0.832878045322462,0.8304396775587616,0.9016010710682325,0.8910869080680457,0.9118880807324798,0.7769451056907736,0.7491944665214545,0.8458552835705718
0.8979274543266951,0.872271376592864,0.8220995601002807,0.8284277280617025,0.7670642191544326,0.7357595575864183,0.7714630550377954,0.8544142003489609,0.7575668235434945,0.8756277014055228,0.7695868875394538,0.9219300364817602,0.7885083661229173,0.7973045651224634,0.8220995601002807,0.798240283250599
0.8397939710516901,0.8458552835705718,0.8731988907409988,0.7724017703340246,0.9336756477767818,0.8734716597184863,0.7207647884639132,0.8003127242551884,0.8003127242551883,0.7471125107683421,0.8625636903376032,0.7562761756396649,0.9045794005755782,0.862949061823796,0.8397939710516902,0.7437220868060548
0.8319407849078467,0.9336756477767819,0.7982402832505989,0.9327597259178748,0.9509266126571861,0.7790466957893388,0.837335438469568,0.760894530593287,0.8150432794860473,0.9052323949967517,0.8853471681056592,0.9108546992863391,0.7875281112761522,0.7670642191544326,0.7437220868060548,0.8067628434579188
0.8086341182418678,0.8340673638929994,0.8649065313077478,0.9024655589352638,0.8319407849078466,0.9521882584643141,0.8300004295882328,0.8712870417228276,0.8256399684639065,0.7721596987089717,0.8839448334733018,0.9403030805265841,0.7079897446201799,0.7207647884639133,0.7805301126245129,0.8046544877248101
0.8150432794860474,0.8373354384695679,0.8734716597184863,0.7218376543492036,0.9032554443039299,0.8536413912580216,0.8291861496913804,0.904366847097278,0.8377740921570853,0.8305388738172483,0.8701770838581367,0.82035751001427,0.828550055263329,0.7575668235434944,0.7714630550377956,0.7435602322571071
0.828690546174118,0.9521882584643141,0.8687811952859789,0.816924745905863,0.8328780453224619,0.8286905461741181,0.8086341182418678,0.7722144093223025,0.8536413912580216,0.899083780438264,0.937194201258165,0.800247290101422,0.91298216587907,0.7790466957893388,0.7357595575864182,0.816924745905863
0.8284277280617026,0.9043668470972781,0.8377740921570853,0.8452955384738764,0.8067628434579188,0.9327597259178748,0.7435602322571071,0.8910869080680456,0.8046544877248101,0.8630997913113486,0.8297206974845002,0.8970827553171992,0.7598915497259746,0.7722144093223025,0.760894530593287,0.8193843219458321
0.8388863070004052,0.9024655589352638,0.8712870417228277,0.8721481155447288,0.8955252661592608,0.91188808073248,0.8384908482567414,0.8388863070004052,0.8384908482567414,0.8912143271981015,0.8612014895514715,0.8728995075731776,0.8072630780369804,0.7724017703340247,0.7218376543492037,0.865524576978949
0.885347168105659,0.9016010710682326,0.8839448334733017,0.8784607964107158,0.9108546992863391,0.8193843219458322,0.7875281112761521,0.7902751583563324,0.8131486155966509,0.8950787672817744,0.8820939886790993,0.9371942012581651,0.8031431792361384,0.8625636903376032,0.7562761756396649,0.7902751583563324
0.8728995075731775,0.940303080526584,0.8970827553171992,0.9144256993522545,0.9045794005755782,0.92193003648176,0.800247290101422,0.8452955384738764,0.7885083661229174,0.8712344919988675,0.7822561323564604,0.8424553743125436,0.8784607964107158,0.8203575100142699,0.7695868875394538,0.8424553743125435
0.8072630780369803,0.9129821658790699,0.828550055263329,0.8789116054362852,0.8701770838581367,0.8820939886790994,0.7822561323564604,0.8612014895514715,0.8721481155447287,0.8563617326887195,0.8789116054362851,0.9144256993522544,0.860327754147408,0.7598915497259745,0.7079897446201799,0.7608003551059396
0.8304396775587616,0.8756277014055228,0.9052323949967517,0.8630997913113485,0.899083780438264,0.8950787672817745,0.8912143271981015,0.8712344919988674,0.8305388738172484,0.8390938571984443,0.8603277541474079,0.8563617326887195,0.8390938571984442,0.7471125107683421,0.7721596987089716,0.8031431792361383
